tmID,year,points_prev1,oRebounds_prev1,dRebounds_prev1,rebounds_prev1,assists_prev1,steals_prev1,blocks_prev1,turnovers_prev1,PF_prev1,fgAttempted_prev1,fgMade_prev1,ftAttempted_prev1,ftMade_prev1,threeAttempted_prev1,threeMade_prev1,PER,confID,playoff,won_prev1,EFF
0,11,94.73133894859134,13.2094103979088,28.510020331106592,41.71943072901539,20.354342143479524,10.69997095556201,3.938425791460935,17.914609352309032,22.306128376415916,80.19750217833284,36.805111821086264,22.445541678768514,16.625036305547486,14.011036886436248,4.496079000871333,18.13304419877483,0,1,18.0,104.31600348533256
1,11,82.62487757100882,11.635651322233105,29.559255631733595,41.1949069539667,14.86777668952008,7.110675808031342,4.7600391772771795,17.747306562193927,23.506366307541626,65.64152791381,28.9128305582762,25.210577864838395,18.099902056807053,16.865817825661118,6.699314397649363,14.98975381421551,0,0,16.0,88.97159647404504
2,11,87.61394101876675,9.865951742627345,21.769436997319033,31.63538873994638,18.016085790884716,7.613941018766756,2.8954423592493295,16.675603217158177,21.98391420911528,75.44235924932975,32.70777479892761,18.98123324396783,15.067024128686326,20.32171581769437,7.1313672922252005,11.203056728170475,0,0,16.0,84.45040214477208
3,11,100.48347875840366,10.813903590330424,28.287798598197682,39.10170218852811,17.817193534544412,11.809469317694179,5.767415248176226,17.542554713202687,23.618938635388357,83.38721212988128,33.780575025032185,28.974395651551994,24.236875983407238,25.850379058789873,8.685452724932055,21.473405106619595,0,1,22.0,103.09254756115004
4,11,79.62423673085955,10.446218882104274,29.98590887740723,40.4321277595115,22.433067167684356,8.341944574917802,4.8473461719116955,17.961484264913103,17.773602630342882,70.34288398309064,29.271958666040394,17.811178957256928,14.654767496477218,18.600281822451855,6.4255519023015495,14.405084779887158,1,1,18.0,93.48990136214186
5,11,96.90534404470834,12.406566538595879,31.184072651065314,43.59063918966119,21.166608452672023,10.646175340551869,3.2273838630806844,16.8075445337059,22.382116660845266,79.6786587495634,35.37548026545581,26.028641285365,20.957038071952496,15.801606706252182,5.197345441844219,17.49991098274263,1,0,14.0,109.35382465944812
6,11,103.43208496366684,12.073784237003911,26.383454443823364,38.457238680827274,19.631078814980434,7.602012297372833,2.8172163219675794,16.813862493012856,22.8060368921185,88.04918949133594,38.367803242034654,22.22470653996646,18.20011179429849,24.371157070989376,8.49636668529905,14.878151282015121,0,1,13.0,101.41978759083284
7,11,105.84652134965663,13.006867721707973,33.53836966258585,46.54523738429382,19.994028068080024,8.348760824126606,5.661391460137355,19.16990146312332,24.222155867423112,84.24007166318304,38.01731860256793,29.238578680203048,23.0755449387877,17.664974619289342,6.736339205733055,21.582247821290903,1,1,23.0,114.84025082114063
8,11,99.15057915057916,7.960687960687961,23.713583713583716,31.674271674271676,21.01790101790102,11.07757107757108,4.296244296244296,14.615654615654616,17.64829764829765,80.53352053352054,34.875394875394875,23.882063882063886,19.62793962793963,26.74622674622675,9.771849771849773,14.581733608024596,1,1,15.0,102.68866268866267
9,11,92.24032321126028,10.791085624918546,24.17828750162909,34.96937312654764,18.70454841652548,8.570311481819367,3.5657500325817804,16.233546200964422,22.802033103088753,76.50723315521961,33.40544767366089,22.489248012511403,18.235370780659455,19.830574742603936,7.194057083279031,15.59922000649045,1,1,20.0,94.46109735435944
10,11,75.35390199637024,10.105263157894736,25.78584392014519,35.89110707803993,14.373865698729583,6.79491833030853,2.352087114337568,15.41923774954628,22.039927404718693,65.94555353901997,25.960072595281307,22.823956442831214,18.20689655172414,17.59709618874773,5.226860254083484,8.256399930465395,1,0,0.0,74.74410163339383
11,11,84.69659595461272,15.313270843611248,30.07400098667982,45.38727183029107,15.826344351258015,10.932412432165762,4.341391218549581,18.075974346324617,23.601381351751357,68.51504686729156,29.24518993586581,30.744943265910212,21.864824864331524,12.866304884065121,4.341391218549581,13.17511784682864,0,1,16.0,94.9580661075481
